ID,Nombre
1,Barcelona
2,Real Madrid
3,Alaves
4,Albacete
5,Rayo Vallecano
6,Athletic Club
7,Atletico de Madrid
8,Betis
9,Burgos
10,Cadiz
11,Celta de Vigo
12,Compostela
13,Deportivo de La Coruña
14,Español
15,Extremadura
16,Getafe
17,Gimnastico de Tarragona
18,Hercules
19,Las Palmas
20,Levante
21,Lerida
22,Logroñes
23,Malaga
24,Mallorca
25,Merida
26,Numanci
27,Osasuna
28,Oviedo
29,Racing de Santander
30,Real Sociedad
31,Recreativo de Huelva
32,Salamanca
33,Sevilla
34,Real Gijon
35,Tenerife
36,Valencia
37,Valladolid
38,Villarreal
39,Zaragoza
40,Murcia
41,Castellon
42,Elche
43,Almeria
44,Sabadell
46,Cordoba
47,Eibar
49,Jaen
50,Leganes
53,Xerez
58,Pontevedra
59,Granada
78,Girona
79,Huesca
83,Condal
84,Cultural Leonesa
85,Atletico Tetuan
86,Alcoyano
87,Arenas de Guecho  
88,Real Union
89,Europa
173,Real Burgos
174,AD Almeria
175,CD Malaga
