Fecha,ID Local,ID Visitante,Gol Local,Gol Visitante,Num Partido,Resultado
10/02/1929,87,7,2,3,1,-1
10/02/1929,14,88,3,2,2,1
10/02/1929,30,6,1,1,3,0
10/02/1929,2,89,5,0,4,1
12/02/1929,29,1,0,2,5,-1
17/02/1929,6,14,9,0,6,1
17/02/1929,7,30,0,3,7,-1
17/02/1929,1,2,1,2,8,-1
17/02/1929,89,87,5,2,9,1
17/02/1929,88,29,3,1,10,1
24/02/1929,87,88,1,1,11,0
24/02/1929,14,89,3,1,12,1
24/02/1929,29,6,0,4,13,-1
24/02/1929,30,1,3,0,14,1
24/02/1929,2,7,2,1,15,1
03/03/1929,6,89,2,0,16,1
03/03/1929,1,87,2,2,17,0
03/03/1929,14,29,3,0,18,1
03/03/1929,88,7,1,2,19,-1
03/03/1929,2,30,2,1,20,1
10/03/1929,87,6,1,0,21,1
10/03/1929,7,1,4,1,22,1
10/03/1929,89,88,3,3,23,0
10/03/1929,29,2,1,3,24,-1
10/03/1929,30,14,1,1,25,0
24/03/1929,87,30,3,0,26,1
24/03/1929,7,29,4,0,27,1
24/03/1929,1,89,5,2,28,1
24/03/1929,14,2,4,0,29,1
24/03/1929,88,6,6,3,30,1
31/03/1929,6,1,5,1,31,1
31/03/1929,14,87,1,2,32,-1
31/03/1929,89,7,4,1,33,1
31/03/1929,30,29,8,1,34,1
31/03/1929,2,88,2,0,35,1
07/04/1929,87,2,3,2,36,1
07/04/1929,7,6,2,3,37,-1
07/04/1929,1,14,1,0,38,1
07/04/1929,29,89,3,2,39,1
07/04/1929,88,30,2,3,40,-1
21/04/1929,87,29,2,1,41,1
21/04/1929,14,7,3,2,42,1
21/04/1929,89,30,4,3,43,1
21/04/1929,88,1,1,2,44,-1
21/04/1929,2,6,5,1,45,1
28/04/1929,6,30,4,2,46,1
28/04/1929,7,87,1,2,47,-1
28/04/1929,1,29,5,1,48,1
28/04/1929,89,2,5,2,49,1
28/04/1929,88,14,4,3,50,1
05/05/1929,87,89,2,2,51,0
05/05/1929,14,6,4,1,52,1
05/05/1929,29,88,1,3,53,-1
09/05/1929,30,7,3,3,54,0
09/05/1929,2,1,0,1,55,-1
09/05/1929,89,14,0,3,56,-1
12/05/1929,6,29,0,0,57,0
12/05/1929,88,87,7,1,66,1
30/05/1929,7,2,0,3,67,-1
30/05/1929,1,30,1,0,68,1
26/05/1929,6,87,2,3,61,-1
26/05/1929,88,89,2,3,64,-1
26/05/1929,2,29,2,2,65,0
26/05/1929,14,30,1,1,63,0
26/05/1929,1,7,4,0,62,1
19/05/1929,30,2,5,4,59,1
19/05/1929,7,88,3,1,58,1
30/05/1929,29,14,1,1,70,0
30/05/1929,89,6,1,1,69,0
30/06/1929,87,1,0,2,60,-1
02/06/1929,6,88,2,1,71,1
02/06/1929,89,1,1,1,72,0
02/06/1929,29,7,1,2,73,-1
02/06/1929,30,87,3,2,74,1
02/06/1929,2,14,2,0,75,1
09/06/1929,87,14,3,0,76,1
09/06/1929,7,89,5,4,77,1
09/06/1929,1,6,3,0,78,1
09/06/1929,29,30,6,1,79,1
09/06/1929,88,2,0,2,80,-1
16/06/1929,6,7,3,3,81,0
16/06/1929,14,1,1,1,82,0
16/06/1929,89,29,4,1,83,1
16/06/1929,30,88,3,2,84,1
